File name: lee_sign_all_neg.root
Data largest local sign: 
1 -7.0425 -4 -4
MC toys below min local 

1 -4.23525 400 250

1 -3.18975 600 125

1 -3.13875 400 250

1 -4.10925 400 250

1 -3.72975 400 250

1 -4.38225 600 125

1 -3.12975 600 125

1 -2.97075 1400 400

1 -3.59025 400 125

1 -3.49725 400 250

1 -3.91125 600 150

1 -3.38025 600 150

1 -3.29625 600 150

1 -4.05225 600 125

1 -3.96525 600 125

1 -3.56025 600 150

1 -3.05025 600 150

1 -3.51525 600 150

1 -3.27075 600 125

1 -4.27275 400 250

1 -4.10325 600 150

1 -3.18825 600 150

1 -3.03375 400 250

1 -3.01725 600 150

1 -4.35975 600 125

1 -3.56925 600 150

1 -2.57475 600 125

1 -4.07175 400 250

1 -2.74425 600 150

1 -2.90175 600 150

1 -2.81325 600 150

1 -3.47025 600 150

1 -2.92275 600 150

1 -3.24225 600 125

1 -3.43125 400 250

1 -3.48675 600 150

1 -3.32175 650 125

1 -4.02825 600 125

1 -3.33825 600 150

1 -2.84925 1600 200

1 -4.21875 400 250

1 -3.03825 400 250

1 -3.10575 600 125

1 -3.34425 600 150

1 -2.92725 600 150

1 -3.22725 600 125

1 -3.54375 400 250

1 -3.03525 600 150

1 -3.11325 400 250

1 -2.88375 600 125

1 -3.27225 600 150

1 -3.38175 600 150

1 -4.04775 400 250

1 -3.14025 700 125

1 -2.91525 600 125

1 -3.71175 400 250

1 -3.27525 650 150

1 -3.19725 600 150

1 -3.42225 1400 200

1 -3.98625 600 125

1 -3.19875 600 125

1 -3.39675 600 125

1 -5.27475 400 250

1 -2.56275 800 150

1 -4.01475 600 150

1 -2.69925 400 250

1 -3.80925 600 125

1 -3.26325 600 150

1 -2.85225 400 250

1 -3.59475 600 150

1 -2.89875 600 150

1 -3.00975 600 150

1 -3.06825 400 250

1 -3.25725 600 150

1 -3.20925 600 150

1 -3.03825 600 150

1 -3.93525 400 250

1 -3.32475 1000 150

1 -2.99325 600 150

1 -3.71025 600 150

1 -4.06875 400 250

1 -3.83625 400 250

1 -3.41175 600 150

1 -3.44175 400 125

1 -3.64875 600 150

1 -2.96025 700 150

1 -3.49275 400 250

1 -3.31425 400 250

1 -3.63225 600 150

1 -3.48075 400 250

1 -4.09425 600 125

1 -2.97375 400 250

1 -3.04875 800 200

1 -3.99375 400 250

1 -3.58275 600 150

1 -3.44175 400 250

1 -2.91675 800 150

1 -3.05325 400 250

1 -3.40725 500 150

1 -3.54375 1200 500

1 -2.86275 700 150

1 -3.85725 700 300

1 -3.11325 600 150

1 -2.96925 600 150

1 -3.97875 400 250

1 -4.12275 600 150

1 -2.67825 900 200

1 -2.75775 700 125

1 -4.21125 400 250

1 -3.39525 600 150

1 -3.16875 400 250

1 -3.50475 600 125

1 -3.61575 600 150

1 -3.30375 400 250

1 -3.00675 600 125

1 -3.64575 400 250

1 -3.98775 400 250

1 -3.42225 600 150

1 -2.75475 600 125

1 -3.60075 600 125

1 -3.37125 400 250

1 -3.73275 600 125

1 -3.52575 600 125

1 -2.98125 600 150

1 -2.96325 600 150

1 -3.76875 600 125

1 -2.81625 600 100

1 -3.38775 400 250

1 -3.69075 600 125

1 -3.60375 600 125

1 -4.26075 600 150

1 -3.33075 500 125

1 -3.53175 600 150

1 -3.52725 600 125

1 -2.61975 600 125

1 -3.80925 600 125

1 -3.76875 400 250

1 -3.93675 600 125

1 -3.00075 600 150

1 -3.58725 600 150

1 -3.13575 600 125

1 -3.62175 400 250

1 -2.43525 700 125

1 -4.11975 600 150

1 -3.22725 400 250

1 -3.43125 600 150

1 -3.14925 600 150

1 -2.60925 400 250

1 -2.96175 600 150

1 -4.20525 600 150

1 -3.48525 600 125

1 -2.88075 400 250

1 -3.25875 600 125

1 -3.26625 600 125

1 -3.94125 400 250

1 -2.95275 650 150

1 -3.41775 600 150

1 -4.43025 400 250

1 -4.41975 600 150

1 -4.21275 400 250

1 -3.72825 600 125

1 -3.26475 600 150

1 -3.25275 600 125

1 -3.39975 600 150

1 -3.41175 600 125

1 -2.79525 600 150

1 -3.80775 600 150

1 -3.01275 600 150

1 -3.30975 600 125

1 -3.57375 600 150

1 -3.27675 600 125

1 -3.46425 650 125

1 -2.90025 600 150

1 -3.61875 600 150

1 -3.46275 400 250

1 -2.88525 400 250

1 -3.10425 600 150

1 -3.00675 600 150

1 -3.76125 600 150

1 -2.96625 600 125

1 -3.70125 600 150

1 -2.94975 400 250

1 -3.65025 600 150

1 -3.63825 600 125

1 -4.11375 600 125

1 -3.66675 600 150

1 -3.69525 600 125

1 -2.92575 600 125

1 -3.46575 600 125

1 -3.42675 600 125

1 -3.05475 400 250

1 -2.97225 600 150

1 -3.36075 400 250

1 -3.19275 600 150

1 -3.68025 600 125

1 -3.24075 600 150

1 -2.89275 600 150

1 -2.64825 400 150

1 -3.31875 400 250

1 -3.80025 400 250

1 -3.54375 400 250

1 -3.05325 600 150

1 -2.66775 600 150

1 -3.15375 600 125

1 -2.92125 650 150

1 -3.87375 600 150

1 -3.36375 600 125

1 -3.55575 400 250

1 -2.94225 600 125

1 -3.45225 600 150

1 -3.09375 600 150

1 -3.66825 600 150

1 -3.63825 600 125

1 -3.70575 600 150

1 -3.14775 600 150

1 -3.28875 400 250

1 -2.72925 400 250

1 -3.54375 600 150

1 -3.66375 600 150

1 -3.83625 400 250

1 -3.21975 600 150

1 -2.72775 600 125

1 -3.21525 600 150

1 -3.51825 600 125

1 -3.44325 600 125

1 -3.39975 400 250

1 -3.05775 600 150

1 -3.39675 600 150

1 -4.09125 600 125

1 -2.83275 600 150

1 -3.60225 600 150

1 -3.93225 600 150

1 -3.16425 600 150

1 -3.06975 400 250

1 -3.80025 400 250

1 -3.53925 650 500

1 -3.21225 800 150

1 -3.83325 600 150

1 -3.41625 600 150

1 -2.90175 600 125

1 -3.01725 600 150

1 -3.26775 400 250

1 -4.44375 400 250

1 -3.88125 400 250

1 -3.32175 650 150

1 -3.29925 600 125

1 -2.81775 600 150

1 -3.18825 600 150

1 -3.79125 600 125

1 -4.01025 600 125

1 -3.46425 1600 250

1 -3.56775 400 250

1 -3.69075 600 150

1 -2.73825 600 125

1 -2.63025 900 100

1 -3.24825 600 150

1 -3.09075 600 150

1 -3.95025 600 150

1 -4.34625 400 250

1 -3.09375 700 125

1 -3.14925 600 125

1 -3.11025 600 150

1 -3.54525 600 125

1 -3.60825 400 250

1 -3.38625 400 250

1 -3.32475 600 150

1 -3.10275 60
